plot_id,Northing (Lat),Easting (Lon),Coord System / Zone,Geodetic Dat,Accuracy (m),Altitude (m),Aspect (°),Slope (°),Country,Federal State,Parent Plot,Plot Shape,Plot Size (mІ),Date,Mosses Ident,Lichens Ident,Formation,pH,Remarks,License,Foliage (%),Bare Soil (%),Litter (%),Standing Dead (%),Living Stems (%),mF,mR,mN,mFw,mRw,mNw,medF,medR,medN,Observers,Cover Trees (%),Cover Shrubs (%),Cover Field Layer (vascular) (%),Cover Juvenile (%),Cover Seedling (%),Cover Field Layer (non-vascular) (%),Permanent Plot Id
p2,"49,6","8,34",Latlon,WGS84,N/A,188,225,29,DE,Baden-Württemberg,logger_19,Quadrat,100,8.8.2017,False,False,Deciduous broadleaf forest,"4,5",N/A,Public Domain,85,40,60,0,3,,,,,,,,,,"Antonia Chu, Larissa  Schierling , Daniela  Mischka, Ariane  Detering, Nadine  Gill ",75,25,10,15,10,1,19
p3,"49,6179","8,3454",Latlon,WGS84,N/A,190,225,20,DE,Baden-Württemberg,logger_19_2,Quadrat,100,8.8.2017,False,False,Deciduous broadleaf forest,4,N/A,N/A,90,5,80,1,15,,,,,,,,,,"Ariane Detering, Daniela  Mischka, Nadine  Gill, Antonia  Chu, Larissa Schierling",80,30,1,15,10,8,"19,2"
p4,49,8,Latlon,WGS84,N/A,N/A,330,16,DE,Baden-Württemberg,logger_20,Quadrat,100,8.8.2017,False,False,Deciduous broadleaf forest,"4,5",N/A,Public Domain,85,2,98,2,3,,,,,,,,,,"Daniel Strauch, Nicola Figus, Christopher Schiller, Alice Krehl",80,5,50,1,1,3,20
p5,"49,1","8,58",Latlon,WGS84,N/A,231,330,3,DE,Baden-Württemberg,logger_7,Quadrat,100,8.8.2017,False,False,Deciduous broadleaf forest,5,N/A,Public Domain,95,5,95,0,3,,,,,,,,,,"Daniel Strauch, Nicola Figus, Christopher Schiller, Alice Krehl",75,12,60,1,1,4,7
p6,"49,1","8,5",Latlon,WGS84,N/A,186,320,12,DE,Baden-Württemberg,logger_2_2,Quadrat,100,8.8.2017,False,False,Deciduous broadleaf forest,"6,5",N/A,Public Domain,95,0,100,0,2,,,,,,,,,,"Daniel Strauch, Nicola Figus, Christopher Schiller, Alice Krehl",80,4,70,3,1,4,"2,2"
p8,"49,6426","8,0435",Latlon,WGS84,N/A,165,300,22,DE,Baden-Württemberg,logger_6,Quadrat,100,8.8.2017,False,False,Deciduous broadleaf forest,5,N/A,Public Domain,75,2,80,1,2,,,,,,,,,,"Daria Bate, Fabian Kempfer, Sandra  Lindenmann, Xiaolin Tang",60,2,40,1,1,10,6
p9,"49,6222","8,34394",Latlon,WGS84,N/A,N/A,230,25,DE,Baden-Württemberg,logger_4_2,Quadrat,100,8.8.2017,False,False,Deciduous broadleaf forest,"7,5",allium ursinum im boden enthalten,Public Domain,80,1,96,1,2,,,,,,,,,,"Daria Bate, Fabian Kempfer, Sandra  Lindenmann, Xiaolin Tang",70,5,40,1,1,10,"4,2"
p11,"49,1","8,57",Latlon,WGS84,5,254,225,11,DE,Baden-Württemberg,logger_1,Quadrat,100,8.8.2017,False,False,Deciduous broadleaf forest,"4,5",N/A,Public Domain,95,1,99,1,5,,,,,,,,,,"Zoe Petridis, Robin Tilson, Leonhard Lange, Julia Nowak",90,3,7,1,1,1,1
p12,"49,6","8,34",Latlon,WGS84,5,250,199,21,DE,Baden-Württemberg,logger_10 ,Quadrat,100,8.8.2017,False,False,Deciduous broadleaf forest,"4,5",N/A,Public Domain,80,15,70,1,6,,,,,,,,,,"Zoe Petridis, Robin Tilson, Leonhard Lange, Julia Nowak",65,10,5,5,1,15,10
p14,"49,1056","8,57445",Lonlat,WGS84,10,194,315,13,DE,Baden-Württemberg,logger_11,Quadrat,100,8.8.2017,False,False,Deciduous broadleaf forest,7,"Kleines Lцsshьgelchen nur moosbewachsen, viel liegendes Totholz",Public Domain,80,4,96,1,3,,,,,,,,,,"Oliver Geiß, Lisa Mildenberger, Ephrahim Schmidt-Riese, Sarah Gebhard",70,25,40,0,1,1,11
p15,"49,1041","8,57261",Lonlat,WGS84,6,139,190,40,DE,Baden-Württemberg,logger_4,Quadrat,100,8.8.2017,False,False,Deciduous broadleaf forest,6,N/A,Public Domain,70,5,40,1,3,,,,,,,,,,"Oliver Geiß, Lisa Mildenberger, Ephrahim Schmidt-Riese, Sarah Gebhard",70,25,60,1,2,6,4
p17,"49,6524","8,34648",Latlon,WGS84,N/A,144,30,19,DE,Baden-Württemberg,logger_2,Quadrat,100,8.8.2017,False,False,Deciduous broadleaf forest,7,N/A,Public Domain,95,1,70,1,1,,,,,,,,,,"Marie Weihnacht, Moritz Hirsch, Kirke Fettweiß, Franziska Steingraber, Tim  Nellessen",85,2,70,3,2,2,2
p19,"49,0763","8,54836",Lonlat,WGS84,13,181,310,19,DE,Baden-Württemberg,logger_18,Quadrat,100,9.8.2017,False,False,Deciduous broadleaf forest,7,N/A,Public Domain,100,2,65,1,10,,,,,,,,,,"Antonia  Chu, Miriam  Herrmann, Ariane  Detering, Nadine Gill, Larissa Schierling , Daniela Miscka",10,7,35,15,3,1,18
p20,"49,0782","8,55143",Lonlat,WGS84,9,176,0,21,DE,Baden-Württemberg,logger_18_2,Quadrat,100,9.8.2017,False,False,Deciduous broadleaf forest,7,N/A,Public Domain,90,1,10,5,10,,,,,,,,,,"Larissa Schierling , Daniela Miscka, Antonia Chu, Ariane  Detering, Nadine  Gill, Miriam  Herrmann ",50,60,75,10,10,2,"18,2"
p21,"49,1","8,55",Latlon,WGS84,N/A,218,300,18,DE,Baden-Württemberg,logger_15,Quadrat,100,9.8.2017,False,False,Deciduous broadleaf forest,"6,5",N/A,Public Domain,90,1,99,1,5,,,,,,,,,,"Daniel Strauch, Nicola Figus, Christopher Schiller, Alice Krehl",80,25,30,15,5,"0,1",15
p22,"49,436","8,32888",Latlon,WGS84,N/A,N/A,0,2,DE,Baden-Württemberg,logger_21,Quadrat,100,9.8.2017,False,False,Deciduous broadleaf forest,6,"keine Seedlings, mцglicherweise von gruppe am vortag zertreten",Public Domain,90,1,80,1,2,,,,,,,,,,"Daria Bate, Fabian Kempfer, Sandra  Lindenmann, Xiaolin Tang",85,25,40,0,0,1,21
p23,"49,4418","8,32972",Latlon,WGS84,N/A,N/A,170,34,DE,Baden-Württemberg,logger_22,Quadrat,100,9.8.2017,False,False,Deciduous broadleaf forest,5,"umgekippter Baum noch lebendig,verlauft waagrecht,zu strauchschicht gezahlt",Public Domain,70,40,30,0,1,,,,,,,,,,"Daria Bate, Fabian Kempfer, Sandra  Lindenmann, Xiaolin Tang",65,30,25,2,1,1,22
p25,"49,0774","8,55254",Lonlat,WGS84,5,207,230,24,DE,Baden-Württemberg,logger_13,Quadrat,100,9.8.2017,False,False,Deciduous broadleaf forest,5,N/A,Public Domain,85,1,99,0,2,,,,,,,,,,"Oliver Geiß, Lisa Mildenberger, Ephrahim Schmidt-Riese, Sarah Gebhard",75,1,20,2,2,1,13
p27,"49,0786","8,55187",Lonlat,WGS84,11,153,30,17,DE,Baden-Württemberg,logger_14,Quadrat,100,9.8.2017,False,False,Deciduous broadleaf forest,5,N/A,Public Domain,95,4,95,1,1,,,,,,,,,,"Marie Weihnacht, Moritz Hirsch, Kirke Fettweiß, Franziska Steingraber, Tim  Nellessen",93,20,40,15,5,2,14
